Title,Published_date,Views,Likes,Favourite,Comments,Favorites
Otile Brown x Meddy - Dusuma (official Lyrics Video) sms skiza 7301521 to 811,2020-06-17,41994213,172734,0,8060,41994213
Otile Brown & Sanaipei Tande - Chaguo La Moyo (Official Video) Sms skiza 7300557 to 811,2018-04-05,32665749,127504,0,8586,32665749
Otile Brown X Jovial - Such Kinda Love (Official Music Video)sms skiza 7301722 to 811,2021-05-19,27631342,149183,0,8546,27631342
Otile Brown X Jovial - Jeraha (Official Music Video),2021-10-11,27335287,139935,0,8039,27335287
Otile Brown X Harmonize - Woman (Official Music Video) sms skiza 7301951 to 811,2022-01-18,23182176,149053,0,11909,23182176
Otile Brown X Ruby - ONE CALL (Official Video) sms skiza 7302843 to 811,2023-02-02,22387141,111577,0,10836,22387141
Regina - Otile Brown x Jux  (official Video) Sms Skiza 7301508 to 811,2020-11-09,22381155,88650,0,5786,22381155
Otile Brown - Baby love (Official Video) sms skiza 7300678 to 811.,2018-07-31,18591822,83742,0,8416,18591822
Otile Brown - Hi (Official Video) Sms Skiza 7300843 to 811,2018-10-17,12387210,58530,0,5462,12387210
Watoto Na Pombe -  Otile Brown & Mejja x Magix Enga ( Official Video) sms skiza 7301517 to 811,2020-06-30,12244333,56250,0,3457,12244333
